,age,comment,likes/views,link,promo,user
164,MAY 2,"Bloom baby, bloom 🌸🌻🌼🌷
.
.
.
Had the most beautiful Minnie-cation these past two days!! In case you missed it, Minnie is throwing a little Garden Party from now until May 6th, and you’re all invited!! 💐 Check out her cute new dress (I need a matching one PRONTO 🙃), snap some pics with the leading lady herself, and snack on some cupcakes & lattes! 🧁☕️ .
.
.
Thank you so much to @minniemouse for being the most incredible host and also to @waltdisneyworld and @disney for inviting me! 💕
.
.
.
And mostly thank you so much to all of you for following along and for being so kind & supportive!! 💖🥰 Hope you all have a Bow-eautiful week!! 🎀😘💋 #sponsored","2,434 likes",/Bw-fdl1FaKy/,1,abbycorkins
165,APRIL 30,"Who, moi?? 💕🐷🌸🎀
.
.
.
Alright y’all, here it is!! My Dapper Day look 2019!! 😆💖 I mean can we just talk for a moment about what a fashion ICON Miss Piggy is?! 🐽 She OWNS the stage & never shies away from being her true self 🙌🏻 Growing up, I always LOVED the Muppets, especially Muppet Treasure Island 🌴 Miss Piggy can fight for herself and doesn’t care what anyone else thinks of her, which makes her a true QUEEN 👑
.
.
.
Picture was taken by the lovely @paigemercerphotography who is so incredible!!! Go check her out!! 💕💕","2,514 likes",/Bw4nzTOFucY/,1,abbycorkins
166,APRIL 25,"This little Pooh Bear is just wondering if the Tree of Life happens to have any hunny?? ❤️🐻🍯
.
.
.
Also bonus: if you zoom super far in, you can see that my headband from @raritybycasey has little bumblebees on it! I thought Pooh would approve 🐝
.
.
.
Check my stories for how to win a giveaway for the matching wallet!! 😆","2,034 likes",/BwrohDTFJDv/,1,abbycorkins
167,APRIL 22,"You can call me Flower if you want to, I don’t mind 🦌🌸💗
.
.
.
I hope everyone had a lovely weekend! This spring weather in Florida has been EVERYTHING 🌷I was so happy it was finally nice enough to wear these adorable Bambi tights @fundotcom_ sent me! 💕
.
.
.
I actually wore this over-the-top outfit (I know I’m on level 💯 here, but that’s why I love it 😅) to the auto repair shop this weekend and I’m absolutely positive everyone thought I was crazy lol 😂🙃 (I mean, they’re not wrong). What was even funnier was watching me climb into my car from the passenger side in a giant tutu and getting caught in the door 🤣🤣🤣 (If you missed my story this past weekend, a tree fell on my car and broke the drivers side door handle off 🙄🌳) .
.
.
But ya know, I was dressing for my Spring Epcot theme, and I just thought the auto shop would like to see a bit of that magic too 🌸💗😜🥰","2,068 likes",/BwkjbPXFSyT/,1,abbycorkins
168,APRIL 18,"Coachella: Disney Springs edition 🌸🎡💕😂
.
.
.
Can you imagine if there WERE a festival at Disney?? Bring back all the old Disney Bands 🎶 (I mean the Jonas Brothers are already back in business 🙃), fill it with Mickey bars & cupcakes, style is Minnie ears as far as the eye can see. 🐭🎀 What do you guys think the ideal Disney Festival would look like?? ❤️✨","2,346 likes",/BwalqkmFC8p/,0,abbycorkins
169,APRIL 17,"Always trying to pattern & color coordinate with my surroundings 💙😂
.
.
.
Here’s the juicy stuff: so this past weekend, @thepixietraveler and I had breakfast at Trattoria al Forno on the Boardwalk 😋 (right around the corner from this picture! Sorry I forgot to Story it! 🙈). It’s honestly one of my FAVORITE breakfasts on property 🥚🥞 And here’s a little tip if you want to go there, but you a) aren’t interested in character dining or b) want to save some $. If you go up to the desk there, you can actually ask to sit in a small room off to the side that is separate from the rest of the dining room. The characters don’t come in that room & you can order off of a menu a la cart! So it’s MUCH cheaper!! 🎉 Also bonus is you don’t have to make a reservation for this! (Though it can get full from time to time, but I’ve honestly never had to wait too long) And the BEST part is their Iced Coffee, which is topped with whipped cream & is sooo sweet and delicious!! ☕️🤤 (the coffee is honestly my favorite part of this whole place) So there ya go!! 🙌🏻 A little insider tip on how to save some money & also have some of the best coffee of your life!! 😉😘💖","3,131 likes",/BwW_VdTl6BN/,0,abbycorkins
170,27 MINUTES AGO,"Leaving the warmth & sun of California and heading to Denver for Outdoor Retailer Trade show this week. If you are around I’m doing a few free print signings & teaching a workshop. More info soon!
After that heading to Iceland for a bike race. See y’all on the road!","5,692 likes",/By0uFgHlx5n/,1,chrisburkard
171,18 HOURS AGO,"This experience they call Fatherhood has been the greatest gift I could have ever been given. I still remember being 25 years old.. coming home from my first trip to Japan where I shot a cover story for Surfer magazine and I was buzzing with excitement. I came home to my wife @brea_face who announced by holding up a onesie .. that we were pregnant. I don’t even remember the words that came out of my mouth but I’m sure they were some type of supportive mumble. But the truth was I was scared sh*tless, trembling and more afraid then I’ve ever been. I’ve dealt with my fair share of insecurity as a young dad raising two boys.. the added pressure of not growing up with my Father made me question myself In many ways. I would say that for me personally there has been nothing that has provided more growth more healing and pride than raising these two with my amazing wife @brea_face .","52,722 likes",/Byyxt5DlRp_/,0,chrisburkard
172,1 DAY AGO,"You can’t fake a smile wearing a 5mm wetsuit while surfing near the Arctic, your cheek muscles just wont let you. .. which is what made making this film with these gals so incredible, world champ @stephaniegilmore @lacurren & @kassiasurf were such a joy. It could have been a northern lights induced hysteria or the mushrooms... hahah, but everyone was genuinely stoked when the weather got terribly cold, cars broke down and we got stuck for hours on mtn passes. @connanmockasin & andrew vanwyngarden probably had something to do with the stoke factor too.
These gals made this trip one of my favorites.
Tonight im in LA for the sold out premier of the film @selfdiscoveryforsocialsurvival check it soon online or check for dates www.sdssfilm.com","63,431 likes",/BywLruQl1_i/,1,chrisburkard
173,2 DAYS AGO,Food for me is always about texture. I would say the same recipe applies for photography. If I can envision what it might feel like just by looking at it ... chances are It will be compelling.,"53,998 likes",/Byt2Xm-l-q4/,0,chrisburkard
174,4 DAYS AGO,We often refer to the photographer as “the Artist” but I’ve always felt like we’re really just documenting the real Artist’s work.,"25,522 likes",/ByqRwlpFi0t/,0,chrisburkard
175,5 DAYS AGO,"Is there a more beautiful display of the Earth’s beating heart than the Grand Prismatic Spring from above? .
This was taken a few years ago during a cold clear winter day out the window of a small 2 seater Cessna plane with a 24-70mm f2.8 lens and a circular polarizer. Sony A7rII at the time.","48,424 likes",/BymLWtTFIPa/,0,chrisburkard
176,6 DAYS AGO,If you were stuck on a Sandbar with two other people who would they be?,"51,956 likes",/BylMmN7FI8p/,0,chrisburkard
177,6 DAYS AGO,"Good men are hard to come by. Which is why it’s important to celebrate not just the Dad’s in our lives but any father figure that has prioritized time with family as the most important thing. My Father’s Day sale is going on now. All my prints are 20% off with the code FATHERSDAY19 in my shop at www.ChrisBurkard.com
Thanks to the great examples out there 🤙🏼","20,377 likes",/Byi540ilHn2/,1,chrisburkard
178,7 DAYS AGO,A marvelous work & wonder.,"63,695 likes",/Byg8mU8Ftz5/,0,chrisburkard
179,JUNE 8,"If there’s ever a time to reflect on what the ocean has given me personally, it’s World Ocean Day. I have been lucky to document the ocean my entire career. Living next to it is something that in many ways has allowed me to take its beauty for granted at times. Every year I try to rededicate myself & family to make better decisions that ultimately affect these life giving waters. Single use plastic is among the top priority in our home and although we struggle, we have made big changes that help reduce our use.
Hope you all enjoy this day and get out to see the big blue!","63,737 likes",/BydXKcHFxCy/,0,chrisburkard
180,JUNE 7,"I made a quick stop in Yosemite the other day to watch the sunrise and witness the most swollen Merced river I have ever seen. It blew my mind to see what 200% snowpack can result in.. waterfalls are raging of course but more importantly Merced is deep and fast moving with class 5 rapids in places where you could walk ankle deep. It’s a pretty otherworldly sight to see trees just floating mid trunk. Such a beautiful sight ... except the mosquitos are on a whole new level... Biblical even.
Quick iPhone documentation here.","150,868 likes",/ByaseI5l7xv/,0,chrisburkard
181,JUNE 5,"Please Read.
Transparency is everything.... and in a concerted effort to be more transparent I have been working this year to take physical & mental stock of my toll on the environment. Which is why I am working in 2019 to create an Environmental Advocacy Document that is available to the public on my website listing the many Environmental Partners we have supported & continue to work with Including NGO’s & Social Justice groups over the last 10 years. As well as measure my carbon footprint.
This document also includes efforts made both personally & through my business that have helped define what we (my team & I) stand for. Decisions like running our entire office off of solar, being a certified Green business by the county of San Luis Obispo or personal choices like eating vegan or having a veggie garden. Every decision makes a difference, even the small ones.
I do this not for bragging rights but to hopefully set a better example of transparency in a day and age where so many of us make our living and livelihood from nature. I hope others will do the same.
A few of the Environmental Advocacy groups we have been lucky to work with are:
@tompkins_conservation @surfrider @wavesforwater @protectourwinters @folkeaksjonen @conservationorg @goparks @npcapics Halendid.is","105,345 likes",/ByWjXcPlF3i/,0,chrisburkard
182,JUNE 5,"My first time seeing & photographing the “blue hour”.... which I used to think was just a funny term people used when it was cloudy & late in the day, but in fact it is a very real phenomena. After a little digging it was explained like this: The blue hour occurs when the Sun is far enough below the horizon so that the sunlight's blue wavelengths dominate due to the Chappuis absorption caused by ozone.
What a world.","43,372 likes",/ByV6SzwFmlq/,0,chrisburkard
183,JUNE 4,In the depths of winter our exposure to the Sun can at times be counted in minutes or rather seconds a day. It doesn’t take long to make you realize you need to make the most of every single one... Japan 2018 @kcdeane,"30,302 likes",/ByTjhDkFlUN/,0,chrisburkard
184,JUNE 3,"*SOLD OUT
I’ll never be as cool as my Alpaca Suzy Q 🦙. So I made a pin to celebrate her awesomeness & strict dress code. Wear em with pride & support a furry friend.
A very limited run available in my shop 👉🏼 www.ChrisBurkardshop.com
Or my bio link.
Thanks to the talented young designer @ajwiley.design for making this happen 🙌🏼","43,809 likes",/ByReackl1Fq/,1,chrisburkard
185,JUNE 1,"💩 Happens... If you’re a photographer and this sound doesn’t make you want to vomit and cry at the same time then maybe you haven’t had the joy of fusing a CP filter to the front of your lens by dropping it 😣. Point being , you get what you pay for and this sucker was cheap.
But hey .. it can’t all be rainbows and waterfalls here. A good dose of reality behind the scenes is always healthy.","57,132 likes",/ByMXuE3FTR7/,0,chrisburkard
186,MAY 31,"Is it too much to ask for people to appreciate the details as well as the big picture. .

@chris_sharma Japan 2019","66,099 likes",/ByIwGcnFz02/,0,chrisburkard
187,MAY 29,"Stories from the road. My slideshow event in Berkely this Friday is SOLD OUT but we will be releasing a few more tickets online today & at the door. Also I’ll be hanging around the @roarkberkeley shop all day Friday to sign books, chat & eat vegan donuts :)
Saturday I’m teaching an intensive photo workshop in Berkeley with just a few spots left. See y’all there! .
Details & tickets here : www.ChrisBurkard.com/events or in my bio link. *proceeds from this event go to support @surfrider 🤙","42,957 likes",/ByDtCx3FIN1/,1,chrisburkard
188,MAY 28,"A surfboard may just be one of the most useful tools for exploration. Especially when the waves are ankle high. We found no surf in Hokkaido.. it was especially hard to bare after 48 hours or driving & ferry rides. But that didn’t stop us from getting in the water & exploring the pack ice.
@annaehrgott @nolecossart
@prana","73,420 likes",/ByB0Co_lEgA/,0,chrisburkard
189,MAY 27,The traditional bathtub boats of Sado island. These women had one the greatest smiles I have ever seen.,"60,601 likes",/Bx-NJvtlfPV/,0,chrisburkard
190,MAY 25,In the Bible of stoke there is a verse about this.,"36,745 likes",/Bx5rC7BFTdR/,0,chrisburkard
191,MAY 23,"I didn’t even think it was physically possible, when the Higginbotham brothers @byhandproject told me they were going to prone paddle from Alaska to Mexico...unassisted, virtually unsupported, no corporate sponsors, just each other and a goal. Not only did they accomplish their mission but they documented the process, the good, the bad, the hilarious, and the heavy. The objective was to survive the hectic journey, but what they found was an even deeper awareness of who they are- which is the best part of any adventure. My good friend and director Kellen Keene are seeking to share it all with us through their film.
.
Their film is almost finished and needs a final push from people that still believe in good old fashioned storytelling. Check it out at @byhandproject and learn how you can help out!","173,473",/Bx0-WKoFtxV/,1,chrisburkard
192,MAY 23,"Our happiness is so cheap. What I mean by that is that despite the often overwhelming waves of praise we seek out we tend to focus on the one negative thing. Social media is a great example .. when you share something near and dear to your heart, possibly even opening up about something personal- instead of seeing all the good, we tend to hone in on just the negative comments or those that may not agree.. as if everyone is supposed to? This happens so often in life as well. You can go to great lengths to have a perfect day.. amazing breakfast, favorite music, exercise.. whatever - And the first person to cut you off in traffic steals your attention and your “happiness”. Just something to think about as you go about your day looking for positive, rather than negative.
.

Oh and this photo .. I just like it.","64,619 likes",/Bx0Dp7AFXPb/,0,chrisburkard
193,MAY 22,Maybe this is what they meant by Castles in the Sky.,"41,794 likes",/Bxxgx3zFHg-/,0,chrisburkard
194,MAY 21,"Can tripods be better? I have always had a love/ hate relationship with tripods. Two years ago I sat with my friend Peter discussing all the issues I I found with the bulky modern day design & he told me about an idea he had that at the time I thought was impossible. Well today is the day, The Kickstarter for the completely revolutionized tripod is here and I am psyched. I have been keeping my lips sealed for the last few months & I’m so stoked to finally share what I have been using the last few months.
Get to know @peakdesign ‘s completely rebuilt from the ground up tripod in my bio link.
Smaller, lighter with about a hundred more improvements.
.
http://ks.peakdesign.com/tHPe9QcD","39,775 likes",/BxuryoTFwqr/,1,chrisburkard
195,3 DAYS AGO,Hannah Queen of Scots #bts,"151,679 likes",/BysbeemHfSV/,1,alabamahannah
196,4 DAYS AGO,cold and kilts and whiskey.,"182,503 likes",/ByoBBwQHdca/,1,alabamahannah
197,5 DAYS AGO,"I didn’t choose the castle life, the castle life chose me 🌹🏰 #thebachelorette","172,333 likes",/Bylz5Nbnw6R/,1,alabamahannah
198,6 DAYS AGO,In the words of fellow queen @beyonce....BOW DOWN. #thebachelorette #queen 🌹👑,"829,976",/BykSzbjHjsN/,1,alabamahannah
199,6 DAYS AGO,Hands up if you’re excited for @bacheloretteabc to return to Mondays with ABC’s hot new summer series Grand Hotel! Premiering after #TheBachelorette it’s gonna get spicy 🔥 #GrandHotel #ABCxYouTubeTV,"778,971",/ByjeGOrH2yf/,1,alabamahannah
200,JUNE 8,🎶backstage #CMAfest vibes 🎶,"84,729 likes",/Byc2C4Gn1QD/,0,alabamahannah
201,JUNE 6,mood when @bacheloretteabc airs on Tuesday instead of Monday. ⚔️,"164,467 likes",/ByYrwDVn5Gd/,1,alabamahannah
202,JUNE 4,I’m the real winner 🏆 this week. I had more fun on these dates this week than I could have imagined possible. I feel so blessed that I have all these wonderful men coming along on this journey with me. There’s no denying that things got heated during our time in Newport and I’m excited for you to see next week (we air on Tuesday y’all) how this week concludes for me. I made a decision that I stand by and it will change the course of where things go from here. I appreciate everyone coming along to watch as I try to find my husband. #BachelorNation is the best- and it’s only gonna get better from here. Until next week 🌹,"236,620 likes",/ByUB6rdHOzJ/,1,alabamahannah
203,JUNE 3,H🏀🏀P! there it is. it’s @bacheloretteabc monday #thebachelorette,"167,442 likes",/ByQjRzXnErP/,1,alabamahannah
204,JUNE 2,lived my best life last night.🤩,"319,373 likes",/ByPE-v-HxOd/,0,alabamahannah
205,JUNE 2,interrupting my @jonasbrothers and @taylorswift fan girl moment to remind y’all I’m still looking for love tomorrow night. 💕,"207,138 likes",/ByN5bG8nz5j/,1,alabamahannah
206,MAY 27,welcome to the jungle. who’s pumped for tonight’s wild episode? 🙋‍♀️ #thebachelorette,"178,759 likes",/Bx--cMnHx8_/,1,alabamahannah
207,MAY 21,save the “beast” for last. #jimmykimmellive #thebachelorette,"128,888 likes",/BxvXiPMniiE/,1,alabamahannah
208,MAY 20,sometimes ya gotta “roll” with the “messiness” of life to find your “Mr. Right”. (see what I did there?) #thebachelorette I hope y’all are loving this episode!! 🌹🌹🌹,"174,673 likes",/BxtK-MNng1N/,1,alabamahannah
209,MAY 20,Monday Mood #thebachelorette 🌹,"1,146,693",/BxsmvKCHWa2/,1,alabamahannah
210,MAY 19,coming for the Iron Throne. 👑,"132,773 likes",/Bxps5y_nnD4/,0,alabamahannah
211,MAY 17,thanks for the warm welcome back. It’s been so great catching up with you all! ♥️,"163,208 likes",/Bxltq7GntaR/,1,alabamahannah
212,MAY 15,"Hi, my name is Hannah and I’m the Bachelorette. (Wow-what!?) This experience has been something else. I am beyond grateful, but dang somebody should have warned me that dating 30 men ain’t easy!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
I’m still recovering, but don’t worry, the Beast is back y’all!","334,194 likes",/Bxf2jrsHYjH/,1,alabamahannah
213,MARCH 12,"Wish me luck, y’all.
#thebachelorette 🌹","292,170 likes",/Bu7y4nNhgAl/,0,alabamahannah
214,MARCH 5,ready for all the clapbacks tonight? #WTA #thebachelor,"160,543 likes",/BupG9VLBTnr/,1,alabamahannah
215,MARCH 3,"have hope, honey.
isaiah 40:31","105,423 likes",/BukSjjhhxyH/,0,alabamahannah
216,FEBRUARY 28,"yep. same ol’, same ol’. i’m living for this girl. #tbt","49,307 likes",/Bub_nblBNYi/,0,alabamahannah
217,FEBRUARY 25,I hate you missed meeting these party animals tonight. #itwouldexplainalot,"44,885 likes",/BuVVdzthC4S/,0,alabamahannah
218,FEBRUARY 24,"staring down monday like... can you give me a sec, I can’t deal. #sundayscaries ⠀⠀⠀⠀⠀⠀⠀⠀⠀
[a lil’ dramatic, I’ll get it together]","86,503 likes",/BuSiU0qBCQU/,0,alabamahannah
219,FEBRUARY 21,"HAPPY BIRTHDAY to my girl, @demi_not_lovato!! We have a dang good time don’t we? — (some people don’t get us because they can’t hang and ultimately just aren’t invited too) but there is no one I’d rather laugh, cry, and Kung fu fight with. Let’s keep it real, forever. So excited for all the love, happiness, and adventure ahead for you, my friend! Thankful I get to tag along and be your #1 fan! Have the best day DemiFool 💗👯‍♀️ ⠀⠀⠀⠀⠀⠀⠀⠀⠀
in honor of the queen, here are a few of my favorite clips of us. (i’m no audio tech so the sound is shat but 🤷🏼‍♀️)","60,072 likes",/BuKfi16Bf_m/,1,alabamahannah
220,33 MINUTES AGO,What Every 22 Year old Doesn't Know,"94,791",/By0vCpcAGBs/,0,garyvee
221,5 HOURS AGO,"For People Who ""Can't Afford"" To Work For Free","410,243",/By0Pnw8A4wd/,0,garyvee
222,8 HOURS AGO,"Remember When Free Shipping Was A Sick Deal

Customers get use to things, make sure you capitalize on what works now.","799,640",/Byz3Jt3g908/,0,garyvee
223,23 HOURS AGO,Google Is Now Your Mother,"1,001,842",/ByyS_N8gJ_o/,0,garyvee
224,1 DAY AGO,"The results always speak.. happiness needs to be the ambition and so kids go hard after your happiness, now if you’re unsuccessful and yet still happy, your parents will still in the end be proud!

Parents don’t always know best, but you’ll have to work hard and be patient cause sometimes you can be delusional at your talent levels and your work ethic.","467,777",/Byx1swmgZ3f/,0,garyvee
225,1 DAY AGO,"#happyfathersday @sashavayner <- follow him, he would love it.

I love you very much, you taught me a work ethic that has mattered and an handshake that’s mattered more!

Tag your pops!","626,498",/ByxYmbRAbqy/,0,garyvee
226,1 DAY AGO,"Accountability and eliminating entitlement, while still loving yourself is the formula.

It’s a balance, like all things, but this is an observation from one mans pov.

Hope this brings some value!

Watch my face, watch my truth.

Tag 1 person, this one can help!","282,399",/Byv3K_iA_5W/,0,garyvee
227,2 DAYS AGO,"We must recognize how much true kindness actually factors into success and happiness for the person DEPLOYING THE HAPPINESS.

If you’re happy pls share it, regardless of what the person does with it, too many have limited their kindness because they are disappointed in the others persons actions once they’ve given.

I remind my happy friends, giving is giving without expectations, don’t confuse giving with manipulation and hopes of getting something when you give🧤♥️","87,821 likes",/ByvUTeXgPJl/,0,garyvee
228,2 DAYS AGO,"The “Veegos”

#brilliantminds2019","127,984 likes",/ByutvwMgwhE/,0,garyvee
229,3 DAYS AGO,"Being Nice Isn't ""Cool"" Right Now But Will Pay Off Later","1,231,551",/Bys-QBig617/,0,garyvee
230,3 DAYS AGO,"I Bet Your Mother Doesn't Know Who You Are

""I Bet Your Mother Doesn't Know Who You Are"" a clip from my appearance on the @whenshappyhr podcast with @betches","1,288,216",/ByseyhtARrh/,0,garyvee
231,3 DAYS AGO,"Stop judging yourself, everyone else is doing it for you!","162,815 likes",/BysLEWag1EL/,0,garyvee
232,3 DAYS AGO,I Hate How I Talk Sometimes,"925,411",/Byqt6GngOl4/,0,garyvee
233,4 DAYS AGO,"Working For Free Is How To Get Your Foot In The Door

Working For Free Is How To Get Your Foot In The Door with @cbrickley603 on #Askgaryvee 315","808,748",/ByqecFpAisE/,0,garyvee
234,4 DAYS AGO,The One Thing You Should Always Do With Your Money,"808,659",/ByqCuspg4c5/,0,garyvee
235,4 DAYS AGO,Spend The Next 13 Years Doing This And Your Life Will Change,"1,059,850",/Bypl1BTAPSj/,0,garyvee
236,4 DAYS AGO,"We continue #whatifwednesdays with the one product I get asked about the most. “Hey @garyvee, when you making an energy drink?” #whatifwednesdays is a series I’m doing around “what if’s” things that we could make for fun :) What do you think about this? How many cans a day? Where does it sell? How much?
Tag someone who would love this","41,032 likes",/ByoP6URgNwE/,0,garyvee
237,5 DAYS AGO,My public service announcement for my amazing #instagram community and family and friendships,"336,299",/BynyPLGgKYb/,0,garyvee
238,5 DAYS AGO,How we roll when we document everything ... make sure you check the second slide on the carousel,"36,133 likes",/Bynd_y0gaX1/,0,garyvee
239,5 DAYS AGO,The Truth Is Undefeated,"888,384",/Bym_m84Alh-/,0,garyvee
240,5 DAYS AGO,"To all my fucking “players” out there aka the “executors” “operators” people who are actually putting in the work!

Fuck those popcorn 🍿 eaters...","193,052 likes",/BylsVakAkr0/,0,garyvee
241,6 DAYS AGO,I Have My Own Baseball Card,"1,007,870",/BylORbvALAc/,1,garyvee
242,6 DAYS AGO,"think like a kid when you're parenting

think like a kid when you're parenting w/ @jayshetty","981,766",/BykvmkBAvLl/,0,garyvee
243,6 DAYS AGO,Why You Need EQ To Get A Job At Vaynermedia,"817,620",/BykbwCtgoo-/,0,garyvee
244,6 DAYS AGO,"These motherfucker -

Like if you feel me","127,090 likes",/ByjYh5SAy7Z/,0,garyvee
245,7 DAYS AGO,Yesterday on my 30 days of Vegan video people asked to see my workout routine— you guys down? 💪🏼🏋🏻‍♂️🏀 #mensfitness #squatspo,"185,027 likes",/ByiJxQ1F8xk/,1,doctor.mike
246,JUNE 5,NYC has my back 🏙 Without a doubt the greatest city in the world! 🔥❤️ #nyc #mensfashion #mensstyle,"196,453 likes",/ByVRvTzFyA4/,1,doctor.mike
247,MAY 23,He’s no #direwolf but he’s my protector nonetheless! 🐻❤️👨🏻‍⚕️ @thebearpup #swipe↔️ #newfie #newfoundland,"260,173 likes",/Bxz2AodBGj3/,0,doctor.mike
248,MAY 19,When @thebearpup attacks during a photo 🐻😂 You guys are in for a real treat on @youtube today with me and @mollyburkeofficial 📽⛑🎉 #operation #linkinbio,"138,916 likes",/Bxpf15SBcRG/,1,doctor.mike
249,MAY 14,"Spending the week learning in #boston @mitsloan with topics on leadership, SoMe, inclusion, and disability 📓❤️⛑ Excited to share what I learn with you soon! #mit #alwayslearning","217,960 likes",/BxcmjfIhczQ/,1,doctor.mike
250,MAY 1,Caption this... 🤔💭 #doctor #science,"176,390 likes",/Bw7O4o8jegF/,0,doctor.mike
251,APRIL 21,"Elon, if you’re looking for a proper family med doctor, I’m ready for the journey 🔥⛑👨🏻‍⚕️#cautery #notaflamethrower","185,838 likes",/BwheDNZjmn_/,0,doctor.mike
252,APRIL 15,YT Merch Coming At You Like...🤫👔🔥 #merch #mensfashion #comingsoon,"313,906 likes",/BwS_E0sDOjw/,1,doctor.mike
253,APRIL 8,Hey You— Why haven’t you seen the doctor for your physical yet? 🤔⛑👨🏻‍⚕️#healthy #happy,"313,770 likes",/BwAXxgaDitp/,0,doctor.mike
254,APRIL 3,Exploring #NYC with the newly trained @thebearpup 🐻⛑🏙 #hudsonyards #newfoundland,"232,812 likes",/BvzDmTJjMHw/,0,doctor.mike
255,APRIL 1,“You think essential oils do WHAT?!?” ⛑🤔🐍 #health #marketingnonsense #snakeoil,"191,573 likes",/Bvt09M3jKpK/,0,doctor.mike
256,MARCH 24,When you and your crush lock eyes 👀😇 #sunday #love,"307,176 likes",/BvZcyVvDhRI/,0,doctor.mike
257,MARCH 17,"My sidekick for the weekend 🐵
Mission- Keep everyone Happy & Healthy ⛑#squirrelmonkey #miami","289,433 likes",/BvHrRQrj-lO/,0,doctor.mike
258,MARCH 6,I can’t wait for @thebearpup to get back from training so we can roam the hospital together bringing smiles to patients’ faces 😃🐶❤️ #newfie #puppy,"237,754 likes",/BurFpsEDPeL/,0,doctor.mike
259,MARCH 4,Don’t shy away from your happiness! Stop yourself from turning golden joy into emotional lead ❤️🔥😃 #positivevibes #nyc,"198,046 likes",/Bul26CwjO9A/,0,doctor.mike
260,FEBRUARY 26,While @thebearpup is in training @roxy.husky is doing her best to keep me company 🐶💤❤️ #sleepy #husky #puppy,"240,656 likes",/BuWfKfaDRTL/,0,doctor.mike
261,FEBRUARY 24,I tried Keto for 30 days and the result is....a very entertaining video 😂😂😂 Check out the link in bio #ketodiet #weightloss #vlog,"279,379",/BuRswpfjv2B/,1,doctor.mike
262,FEBRUARY 19,"From day one they’ll tell you the journey is long, arduous, and probably not worth it. Well, prove them wrong not by arguing but by succeeding. ⛑❤️👨🏻‍⚕️ #health #doctor #happiness","223,495 likes",/BuEXHbED60P/,0,doctor.mike
263,FEBRUARY 13,My 2nd year playing as a model to raise awareness of a critical men’s health issue 🤓👔⛑ @prostatecancerfoundation @bluejacketfashionshow #nyfw #menshealth #mensfashion,"258,561 likes",/Bt1ut_hDnCQ/,1,doctor.mike
264,FEBRUARY 7,Two doctors with different specialties ⛑😜 Shared the runway tonight w @ryaneggold at the @bluejacketfashionshow benefiting the @prostatecancerfoundation 👔#doctors #newamsterdam #nyfw,"164,552 likes",/BtmhW_uj-IT/,1,doctor.mike
265,FEBRUARY 6,Making house calls this week ⛑👨🏻‍⚕️ Who’s next??? 😜🏥 #nyc #doctor,"244,474 likes",/Bti8WWcjR5g/,0,doctor.mike
266,JANUARY 30,"Only when you can be truly honest with yourself, can you then begin to enjoy the little things in life ❤️🤓👔 #nyc #mensfashion #mensstyle","207,605 likes",/BtQz2bljxVO/,0,doctor.mike
267,JANUARY 18,New York is one of those places that constantly inspires you to be your best— everyday I wake up striving to do better 🌃❤️💪🏼#nyc #mensfashion #mensstyle,"283,871 likes",/Bsx9JL7gl7C/,0,doctor.mike
268,JANUARY 7,"Quit fearing negativity and bad outcomes. Instead sit up tall, smile, and enjoy this crazy little thing called “life” ❤️⛑👍🏼#mondaymotivation #doctor #health","261,479 likes",/BsVmkNkAeyi/,0,doctor.mike
269,JANUARY 3,I told him my New Years resolution was to eat more veggies and he said “I’m game” 😝😂🦒#veggies #safari #costarica,"301,683 likes",/BsLs4dLA5cb/,0,doctor.mike
270,7 HOURS AGO,"night one with @thetechnicolors , tonight. Washington DC. see youuuuuu !!",157 likes,/By0E-AUgO_4/,1,_dealcasino_
271,1 DAY AGO,Happy Father’s Day dads. Don’t listen to our song Father’s Day though. It’s too sad of a vibe. Be happy and listen to Frank Sinatra or something dad-appropriate. Can you find the wild Jon Rodney in this photo? 🙂🙂🙂 Photo: @_codycutter,251 likes,/ByyFn3wAK1S/,0,_dealcasino_
272,3 DAYS AGO,Hey thanks if you watched the livestream yesterday. People harassed us and it made us better musicians. Here is good ol’ joeC. Photo: @_codycutter,393 likes,/Bys6k1eAdH4/,0,_dealcasino_
273,5 DAYS AGO,We will be doing an instagram live video tomorrow (Thursday) night at 9pm EST. We’re just going to play a lot of songs. Be sure to tune in and harass us. Photos: @_codycutter,625 likes,/BynKHuzgIn_/,1,_dealcasino_
274,6 DAYS AGO,made a #sick rippin’ pipin’ rippin’ playlist for upcoming hometown show. its good. follow it. link in bio @hibottledblonde @seanmcverry @sonicblumeband @itsatrappe,291 likes,/BykgrYDAgsK/,1,_dealcasino_
275,7 DAYS AGO,"back in the van in ONE WEEK. DC, PHILLY, NYC, BOSTON, CLEVELAND, CHICAGO w @thetechnicolors .. all tickets are on sale now. photo: @_codycutter",464 likes,/ByiJPw1AVMx/,1,_dealcasino_
276,JUNE 7,"ASBURY PARK, AUGUST 8th. TICKETS ARE NOW ON SALE (link in bio) | Photo: @cc4prezi Screen art: @brian_wrensen",797 likes,/ByaUWFag8KF/,1,_dealcasino_
277,JUNE 6,"Hey we’re going to do an instagram live video next Thursday 6/13 at 9pm EST. What songs do you fools want to hear? Command us.
Photo: @sarahwaxberg",492 likes,/ByXrFt6ADvY/,1,_dealcasino_
